rmse,position,seed
1.6073559522628784,FS,42
1.372470736503601,SS,42
1.2710061073303223,CB,42
0.2068890631198883,FS,42
0.9453664422035217,CB,42
0.5635496377944946,FS,42
0.9277957081794739,SS,42
0.2800646424293518,CB,42
0.5692517757415771,FS,42
0.8545418977737427,CB,42
1.1483832597732544,FS,42
1.2120087146759033,CB,42
6.546921253204346,CB,42
5.111086368560791,FS,42
4.983006954193115,SS,42
5.231226921081543,CB,42
3.516852855682373,CB,42
5.723466396331787,SS,42
4.754319190979004,FS,42
7.019789218902588,CB,42
3.8855080604553223,FS,42
0.9970962405204773,CB,42
3.1807515621185303,SS,42
1.8195263147354126,FS,42
0.6714684367179871,CB,42
2.57361102104187,FS,42
1.0869691371917725,CB,42
0.3418823778629303,FS,42
1.3639253377914429,SS,42
0.5673561692237854,CB,42
1.7578824758529663,FS,42
2.000002145767212,CB,42
0.8448783159255981,FS,42
1.2731326818466187,SS,42
0.8178950548171997,CB,42
1.5200306177139282,FS,42
0.7409602999687195,CB,42
1.407131552696228,FS,42
0.7626996636390686,SS,42
3.597158670425415,CB,42
1.287376046180725,FS,42
1.9451996088027954,CB,42
1.0374562740325928,FS,42
1.1194132566452026,SS,42
0.7832082509994507,CB,42
2.069340705871582,CB,42
1.9159883260726929,SS,42
1.5644261837005615,FS,42
1.9093488454818726,FS,42
5.438971519470215,CB,42
1.8078665733337402,CB,42
1.3382575511932373,FS,42
0.9141302108764648,CB,42
1.3067117929458618,FS,42
1.0282762050628662,SS,42
0.6995507478713989,CB,42
0.4167763590812683,FS,42
0.6878790855407715,CB,42
0.9803124666213989,FS,42
0.27654242515563965,SS,42
0.9676275849342346,CB,42
0.57131427526474,FS,42
1.5544956922531128,CB,42
0.2409554123878479,FS,42
1.1645865440368652,SS,42
1.2370145320892334,CB,42
2.5721681118011475,FS,42
2.30623459815979,CB,42
1.029699444770813,FS,42
1.4483987092971802,SS,42
0.25451958179473877,CB,42
0.8973108530044556,FS,42
1.608652114868164,CB,42
1.1532537937164307,SS,42
0.983730673789978,CB,42
0.45265406370162964,FS,42
